what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1620864994372
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1620864994390
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1620864994390
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1620864994406
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1620864994408
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1620864994425
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1620864994434
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1620864994436
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1620864994531
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1620864994536
os,sysinfo,,,"win32",1620864994545
arch,sysinfo,,,"x86",1620864994545
ws,sysinfo,,,"win32",1620864994545
locale,sysinfo,,,"es_CO",1620864994545
processors,sysinfo,,,"2",1620864994545
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1620864994545
java.runtime.version,sysinfo,,,"1.8.0_291-b10",1620864994545
java.specification.name,sysinfo,,,"Java Platform API Specification",1620864994545
java.specification.vendor,sysinfo,,,"Oracle Corporation",1620864994545
java.specification.version,sysinfo,,,"1.8",1620864994545
java.vendor,sysinfo,,,"Oracle Corporation",1620864994545
java.version,sysinfo,,,"1.8.0_291",1620864994545
java.vm.info,sysinfo,,,"mixed mode",1620864994545
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1620864994545
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1620864994545
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1620864994545
java.vm.specification.version,sysinfo,,,"1.8",1620864994545
java.vm.vendor,sysinfo,,,"Oracle Corporation",1620864994545
java.vm.version,sysinfo,,,"25.291-b10",1620864994545
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1620864996856
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1620864996859
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1620864997062
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1620864997210
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1620864997498
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1620865060669
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1620865083852
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1620865083914
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1620865125859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1620865132514
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1620865134143
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1620865136631
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1620865140869
